제목,장르,에피소드,옴니버스,스토리,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
강한사랑,스토리,0,0,1,0,1,0,0,0,1,0,0,0,0,912,9.88,0
강호열전,시대극,0,0,1,0,0,0,1,0,0,0,0,1,0,430,9.89,0
같이 꽃길 걸을까요?,에피소드,1,0,0,1,0,0,0,0,0,1,0,0,0,"1,563",9.68,0
같이 살아요!,순정,0,0,1,0,1,0,0,0,1,0,0,0,0,"5,214",9.9,0
개구리공주,판타지,0,0,1,0,0,1,0,0,1,0,0,0,0,695,9.87,0
개구리툰,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,641,9.19,0
개그잡종,개그,0,1,0,0,1,0,0,0,0,0,0,0,0,949,9.29,0
개남,스토리,0,0,1,1,0,0,0,1,0,0,0,0,0,"2,246",9.89,0
개년들,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,402",9.87,0
개를 낳았다~만남부터 이별까지~,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,"15,524",9.89,1
개솔툰,감성,1,0,0,0,1,0,0,0,0,1,0,0,0,29,6.87,0
개시,스토리,0,0,1,0,0,0,0,1,0,0,0,1,0,"3,621",9.88,0
개와나,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,18,9.69,0
개인사생활,옴니버스,0,1,0,1,0,1,0,0,0,0,0,0,0,"1,724",9.63,0
개인적인택시,에피소드,1,0,0,0,0,0,0,1,0,1,0,0,0,"1,996",9.89,0
개집사일기,개그,1,0,0,1,1,0,0,0,0,0,0,0,0,341,9.8,0
개천사,감성,0,0,1,0,0,0,1,0,0,1,0,0,0,882,9.89,0
개판,스토리,0,0,1,0,0,0,0,0,0,0,0,0,0,53,9.69,1
개판오분전,스토리,0,0,1,0,0,0,0,1,1,0,0,0,0,"3,919",9.66,0
개포트,에피소드,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,928",9.88,0
개화여자정보고등학교,일상,1,0,0,1,0,0,0,0,0,1,0,0,0,221,9.8,0
갱스타즈(Gangstaaz),드라마,0,0,1,0,0,0,0,1,0,0,0,0,1,472,9.64,0
갱스터,드라마,0,0,1,0,0,0,1,1,0,0,0,0,0,113,9.49,0
거꾸로-툰,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,"1,037",9.85,0
거미덫,스릴러,0,0,1,0,0,0,1,0,0,0,1,0,0,277,9.8,0
거미의 상자,스토리,0,0,1,0,1,1,0,0,0,0,0,0,0,"8,620",9.9,0
거울 속에 비친 유령,스릴러,0,0,1,0,0,0,0,1,0,0,1,0,0,155,9.81,0
건곤일척 아랑전,시대극,0,0,1,0,0,0,0,0,1,0,0,1,0,"2,161",9.59,0
건마왕증,스토리,0,0,1,0,1,0,1,0,0,0,0,0,0,"4,062",9.72,0
건축카페 종이집,드라마,0,1,0,0,0,0,0,1,0,1,0,0,0,"1,229",9.77,0
걸어서 30분,스토리,0,0,1,0,0,0,0,0,1,0,0,0,0,"77,235",9.9,1
검은 가시,스토리,0,0,1,0,0,1,0,1,0,0,0,0,0,256,9.86,0
검은 늑대,판타지,0,0,1,0,0,1,0,1,0,0,0,0,0,"1,980",9.87,0
검은새,스릴러,0,1,0,0,0,0,0,0,0,0,1,0,0,791,9.8,0
검은선,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,"9,597",9.79,0
검은소,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,218",9.83,0
검은유성우,시대극,0,0,1,0,0,1,0,0,0,0,0,1,0,"1,589",9.83,0
검은인간,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,275",9.89,1
검은피의 도시,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,"1,403",9.77,0
검의계승자,스토리,0,0,1,0,0,1,1,0,0,0,0,0,0,"3,007",9.87,0
게으른 고양이의 soso한 카페이야기,일상,1,0,0,1,1,0,0,0,0,0,0,0,0,"2,904",9.84,0
게이트,액션,0,0,1,0,0,1,1,0,0,0,0,0,0,756,9.76,0
게임에 접속했습니다!,일상,1,0,0,1,0,1,0,0,0,0,0,0,0,"3,354",9.78,0
겨까게 사랑한다,일상,1,0,0,1,0,0,0,0,0,0,0,0,0,459,9.49,0
