,À¥Å÷ Á¦¸ñ,È¸Â÷ Á¦¸ñ,È¸Â÷,µî·ÏÀÏ,Á¶È¸¼ö,È¸Â÷º° º°Á¡,º°Á¡ Âü¿©ÀÎ¿ø¼ö,ÁÁ¾Æ¿ä¼ö,Á¤½Ä¿¬Àç,Á¶È¸¼ö ´ëºñ º°Á¡Âü¿©,Á¶È¸¼ö ´ëºñ ÁÁ¾Æ¿ä
128,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,4È­,4,2017.12.16,134857,9.9,3207,932,1,0.023780745530450773,0.006911024270152829
129,ÇÕ¹ýÇØÀû ÆÄ¸£Æä,5È­,5,2017.12.16,130998,9.9,3165,929,1,0.024160674208766546,0.0070917113238370055
130,¾ÆÈ©¼ö ¿ì¸®µé,-,1,2017.11.29,234863,9.9,1687,458,1,0.007182910888475409,0.0019500730212932645
131,¾ÆÈ©¼ö ¿ì¸®µé,-,2,2017.12.06,167294,9.86,1265,373,1,0.007561538369576912,0.002229607756404892
132,¾ÆÈ©¼ö ¿ì¸®µé,-,3,2017.12.13,155242,9.87,1260,363,1,0.0081163602633308,0.002338284742531016
133,¾ÆÈ©¼ö ¿ì¸®µé,-,4,2017.12.20,154483,9.9,1546,409,1,0.010007573648880459,0.0026475405060751023
134,¾ÆÈ©¼ö ¿ì¸®µé,-,5,2018.01.03,146157,9.93,1878,399,1,0.012849196412077423,0.002729941090744884
135,¿­Á¤È£±¸,ÇÁ·Ñ·Î±×,1,2016.03.02,165509,9.9,662,450,1,0.003999782489169774,0.002718885377834438
136,¿­Á¤È£±¸,1. Ã¹ Ãâ±Ù,2,2016.03.08,169014,9.93,645,332,1,0.003816251908125954,0.001964334315500491
137,¿­Á¤È£±¸,2. ÈÄÆøÇ³,3,2016.03.15,127134,9.91,586,334,1,0.004609309862035333,0.0026271493070303773
138,¿­Á¤È£±¸,3. ¹«Áö°¡ ³ºÀº Âüº¯,4,2016.03.22,124184,9.89,638,322,1,0.005137537847065644,0.0025929266250080524
139,¿­Á¤È£±¸,4. °¥µî,5,2016.03.29,107885,9.87,611,297,1,0.005663437920007415,0.002752931362098531
140,°¡Å¸ºÎÅ¸Å¸,1È­,1,2019.01.06,175159,9.82,726,819,1,0.004144805576647503,0.004675751745556894
141,°¡Å¸ºÎÅ¸Å¸,2È­,2,2019.01.13,103752,9.83,537,601,1,0.005175803839925977,0.005792659418613617
142,°¡Å¸ºÎÅ¸Å¸,3È­,3,2019.01.19,85050,9.82,613,584,1,0.007207524985302763,0.006866549088771311
143,°¡Å¸ºÎÅ¸Å¸,4È­,4,2019.01.27,75772,9.74,670,518,1,0.00884231642295307,0.0068362983687905825
144,°¡Å¸ºÎÅ¸Å¸,5È­,5,2019.02.02,73281,9.89,511,475,1,0.0069731581173837695,0.0064818984457089834
145,°ËÀºÀÎ°£,ÇÁ·Ñ·Î±×,1,2017.10.30,160041,9.85,421,262,1,0.002630575914921801,0.001637080498122356
146,°ËÀºÀÎ°£,1,2,2017.10.30,154753,9.82,390,237,1,0.002520145005266457,0.001531472733969616
147,°ËÀºÀÎ°£,2,3,2017.11.05,135908,9.86,373,213,1,0.0027445036348117844,0.0015672366600935927
148,°ËÀºÀÎ°£,3,4,2017.11.12,132535,9.93,387,197,1,0.0029199834006111594,0.0014863998189157581
149,°ËÀºÀÎ°£,4,5,2017.11.18,123772,9.94,395,174,1,0.0031913518404808844,0.0014058106841611997
150,¿ä¸®GO,1È­ ¿ä¸®°í ±× ½ÃÀÛ,1,2017.06.10,198042,9.71,656,239,1,0.003312428676745337,0.0012068147160703285
151,¿ä¸®GO,2È­ ¿ä¸®°íµîÇÐ±³ ÀÔÇÐ½Ä,2,2017.06.17,124627,9.69,403,171,1,0.003233649209240373,0.0013720943294791659
152,¿ä¸®GO,3È­ ±³Ä¢,3,2017.06.24,101844,9.75,473,154,1,0.004644358037783276,0.0015121165704410668
153,¿ä¸®GO,4È­ ¿À¹É·¿,4,2017.07.01,105884,9.8,453,146,1,0.0042782667825167165,0.0013788674398398247
154,¿ä¸®GO,5È­ º£½ºÆ® Äî,5,2017.07.08,90158,9.9,477,160,1,0.005290711861398878,0.001774662259588722
155,°áÈ¥»ýÈ° ±×¸²ÀÏ±â,¿¬ÀçÇùÀÇÁß,1,2018.01.27,179547,9.85,1554,384,1,0.008655115373690455,0.002138715768016174
156,°áÈ¥»ýÈ° ±×¸²ÀÏ±â,¿¬ÀçÇùÀÇÁß,2,2018.01.27,149922,9.84,1289,325,1,0.00859780419151292,0.002167793919504809
157,°áÈ¥»ýÈ° ±×¸²ÀÏ±â,¿¬ÀçÇùÀÇÁß,3,2018.01.28,143749,9.82,1291,312,1,0.008980932041266374,0.0021704498813904793
158,°áÈ¥»ýÈ° ±×¸²ÀÏ±â,¿¬ÀçÇùÀÇÁß,4,2018.01.29,139737,9.84,1251,305,1,0.008952532257025698,0.0021826717333276085
159,°áÈ¥»ýÈ° ±×¸²ÀÏ±â,¿¬ÀçÇùÀÇÁß,5,2018.01.30,132727,9.88,1228,298,1,0.009252073805631108,0.002245210092897451
160,¾ð¿øÆ¼µå,ÇÁ·Ñ·Î±×,1,2016.12.23,159919,9.73,373,127,1,0.0023324307930890015,0.0007941520394699817
161,¾ð¿øÆ¼µå,1. ÀçÈ¸,2,2016.12.30,161435,9.79,384,106,1,0.002378666336296342,0.0006566110199151361
162,¾ð¿øÆ¼µå,2. °è»ê ¹Û,3,2017.01.06,109991,9.79,338,84,1,0.00307297869825713,0.0007636988480875708
163,¾ð¿øÆ¼µå,3. Çö½ÇÆÄ¾Ç,4,2017.01.13,90609,9.76,303,72,1,0.0033440386716551336,0.0007946230506903287
164,¾ð¿øÆ¼µå,4. ÀûÀÀ,5,2017.01.20,83531,9.77,279,70,1,0.0033400773365576853,0.0008380122349786307
165,¿Ü¸ðÁö»óÁÖÀÇ,1È­,1,2014.07.19,219564,9.78,6311,3825,1,0.028743327685777267,0.017420888670273815
166,¿Ü¸ðÁö»óÁÖÀÇ,2È­,2,2014.08.01,126749,9.82,5577,2962,1,0.04400034714277825,0.023369020662884914
