Unnamed: 0,제목,장르,일상,개그,판타지,액션,드라마,순정,감성,스릴러,시대극,스포츠,좋아요,별점,정식연재
228,B와 당신,일상,1,1,0,0,0,0,0,0,0,0,"3,982",9.62,0
229,노곤하개,일상,1,1,0,0,0,0,0,0,0,0,"2,651",9.88,1
230,유치원 신드롬,일상,1,0,0,0,0,0,0,1,0,0,595,9.59,0
231,한 지붕 아래,일상,1,1,0,0,0,0,0,0,0,0,"1,698",9.89,0
232,오늘밤 야식을 먹는다,일상,1,0,0,0,0,0,0,0,0,0,"2,914",9.45,0
233,이웃집 유부녀,일상,1,1,0,0,0,0,0,0,0,0,"6,369",9.9,0
234,진지한 고교생!!,일상,1,1,0,0,0,0,0,0,0,0,"2,818",9.8,0
235,개남,일상,1,0,0,0,1,0,0,0,0,0,"2,246",9.89,0
236,나도 옷 잘 입고 싶다,일상,1,1,0,0,0,0,0,0,0,0,"2,896",9.89,0
237,비김 어게인 IN한국 [캐나다에도 산다 시즌 2],일상,1,1,0,0,0,0,0,0,0,0,"2,419",9.73,0
238,모죠의 일지,일상,1,1,0,0,0,0,0,0,0,0,512,9.84,1
239,"혼밥, 혼술, 혼자 사는 이야기",일상,1,1,0,0,0,0,0,0,0,0,"2,798",9.9,1
240,저주인형,일상,1,0,1,0,0,0,0,0,0,0,"1,591",9.89,0
241,인생맛집,일상,1,0,0,0,0,0,0,0,0,0,"3,630",9.89,0
242,난감소녀,일상,1,1,0,0,0,0,0,0,0,0,556,9.83,0
243,중등 생활 보고서,일상,1,0,0,0,0,0,0,0,0,0,"5,713",8.98,0
244,허니허니,일상,1,0,0,0,0,0,0,0,0,0,"1,915",9.88,0
245,힘내라 봉산댁!,일상,1,0,0,0,1,0,0,0,0,0,"3,139",9.9,0
246,제카y 제카툰,일상,1,1,0,0,0,0,0,0,0,0,891,9.81,0
247,가족같은회사,일상,1,0,0,0,1,0,0,0,0,0,"1,827",9.86,0
248,그래일기,일상,1,0,0,0,0,0,0,0,0,0,"4,159",9.87,0
249,Cafe OK,일상,1,0,0,0,0,1,0,0,0,0,"10,013",9.87,0
250,봉봉미엘 홍차클럽,일상,1,0,1,0,0,0,0,0,0,0,"7,703",9.9,0
251,유포리아,일상,1,0,0,0,1,0,0,0,0,0,"1,968",9.74,0
252,일상 로맨스,일상,1,0,0,0,0,0,1,0,0,0,"1,858",9.85,0
253,일상을 지켜라,일상,1,0,1,0,0,0,0,0,0,0,"2,043",9.88,0
254,데일리 프랑스,일상,1,0,0,0,0,0,1,0,0,0,973,9.89,0
255,미대생 댕댕,일상,1,1,0,0,0,0,0,0,0,0,"2,062",9.85,0
256,곰신남,일상,1,1,0,0,0,0,0,0,0,0,"2,810",9.87,0
257,[세계여행이야기]World Travel Diary,일상,1,1,0,0,0,0,0,0,0,0,"6,784",9.89,0
258,우리 집에 최애캐!,일상,1,0,1,0,0,0,0,0,0,0,772,9.78,0
259,과한가족,일상,1,1,0,0,0,0,0,0,0,0,"3,154",9.88,0
260,생각하는 정이,일상,1,0,0,0,0,0,0,0,0,0,"2,249",9.86,0
261,은근 짜릿해,일상,1,0,0,0,0,0,1,0,0,0,"4,517",9.84,0
262,적절한 교환일기,일상,1,1,0,0,0,0,0,0,0,0,"1,964",9.85,0
263,아내가 임신했다,일상,1,1,0,0,0,0,0,0,0,0,"5,983",9.88,0
264,흙수저를 위한 나라는 없다,일상,1,0,0,0,0,0,0,0,0,0,"2,140",9.55,0
265,나라면 절대 안그래,일상,1,0,0,0,1,0,0,0,0,0,"1,739",9.5,0
266,일타쌍피 -흑-,일상,1,1,0,0,0,0,0,0,0,0,"3,376",9.81,0
267,숲,일상,1,0,0,0,0,0,1,0,0,0,"6,197",9.9,0
268,헤이노르딕,일상,1,1,0,0,0,0,0,0,0,0,"1,810",9.86,0
269,땅 보고 걷는 아이,일상,1,0,0,0,0,0,1,0,0,0,"2,534",9.88,1
270,1인용 기분,일상,1,0,0,0,0,0,1,0,0,0,"7,459",9.87,1
271,내 남친은 이세계를 구한 용사님!?,일상,1,0,1,0,0,0,0,0,0,0,454,9.86,0
272,하이스쿨 히어로즈,일상,1,0,0,0,1,0,0,0,0,0,"1,106",9.77,0
